Num,dirname,before_screen1_identifier,after_screen1_identifier,before_screen2_identifier,after_screen2_identifier,Completed,seqtech
1,baf3_Imat_high_rep1vsrep2_sscs,BTRHD0_FT_sscs,BTRH1_D6_sscs,BTRHD0_FT_sscs,BTRH2_D6_sscs,FALSE,sscs
2,baf3_Imat_high_rep1vsrep2_ngs,BTRHD0_FT_ngs,BTRH1_D6_ngs,BTRHD0_FT_ngs,BTRH2_D6_ngs,FALSE,ngs
3,baf3_Imat_high_rep1vsrep2_duplex,BTRHD0_FT_duplex,BTRH1_D6_duplex,BTRHD0_FT_duplex,BTRH2_D6_duplex,FALSE,duplex
4,baf3_Imat_high_rep1vsrep2_tileseq,BTRHD0_FT_tileseq,BTRH1_D6_tileseq,BTRHD0_FT_tileseq,BTRH2_D6_tileseq,FALSE,tileseq
